team,games_played,conf_games_played,mean_wins,mean_conf_wins,median_wins,std_wins,p_8_plus_wins,p_10_plus_wins,p_11_plus_wins,p_undefeated_conf
Indiana,12,9,9.88,7.05,10,1.24,0.9637,0.6482,0.3257,0.0937
Ohio State,12,9,9.78,7.25,10,1.25,0.962,0.6095,0.2992,0.1255
Oregon,12,9,9.54,6.87,10,1.28,0.9365,0.5467,0.2344,0.0577
Penn State,12,9,7.94,5.61,8,1.58,0.6216,0.158,0.0454,0.0121
Iowa,12,9,7.32,4.86,7,1.55,0.4642,0.0769,0.0147,0.0023
USC,12,9,6.95,4.47,7,1.56,0.372,0.0447,0.0064,0.0003
Washington,12,9,6.9,4.44,7,1.54,0.3499,0.0403,0.0068,0.0011
Michigan,12,9,6.76,4.53,7,1.52,0.3165,0.0284,0.0038,0.0004
Illinois,12,9,6.55,4.26,7,1.56,0.2743,0.0241,0.0026,0.0005
Minnesota,12,9,5.99,3.76,6,1.58,0.1712,0.0083,0.0009,0.0001
Rutgers,12,9,5.78,3.61,6,1.59,0.1388,0.0089,0.0015,0.0001
Wisconsin,12,10,5.74,4.16,6,1.6,0.1317,0.0075,0.001,0.0001
Maryland,12,9,5.7,3.82,6,1.62,0.1329,0.0062,0.0007,0.0003
Nebraska,12,9,5.68,3.32,6,1.52,0.1135,0.0043,0.0005,0.0001
UCLA,12,9,5.54,3.81,6,1.61,0.1096,0.005,0.0008,0.0004
Northwestern,12,9,5.18,2.89,5,1.5,0.0612,0.002,0.0003,0.0
Michigan State,12,10,4.87,3.54,5,1.59,0.0465,0.001,0.0002,0.0
Purdue,12,10,4.34,3.06,4,1.53,0.0203,0.0003,0.0,0.0
Notre Dame,3,3,2.68,2.68,3,0.53,0.0,0.0,0.0,0.7088
